duration	srcIP	srcPort	dstIP	avePktSize	stdPktSize	aveIAT	tcpPSeqCnt	tcpAveWinSz	tcpRTTAckTripAve
0.107555991	04	46750	151.101.2.27	70.07692	149.2121	0.008273537	10	31273.69	0.0101265
0.095253526	us	10.49.10.60	04	413.9286	544.7601	0.006803824	14	146662.3	0.002108042
0.147447070	04	34262	23.198.221.101	658	62.21429	0.03821803	3443214620	64240	0.03630496
0.113265177	us	443	10.49.10.60	1460	439.8333	0.03855575	814700454	64240	0.0035968
0.244908456	04	41560	35.244.232.184	670	66.69231	0.05179444	1866743570	64240	0.05176006
0.195827389	us	443	10.49.10.60	2048	644.75	0.0926633	3707635271	65535	0.04645171
0.264068536	04	42734	151.101.130.27	70.23077	149.6482	0.02031296	10	31273.69	0.0343348
0.216232485	us	10.49.10.60	04	413.9286	544.7601	0.01544518	14	146662.3	0.0017153
0.280059441	04	42722	151.101.130.27	70.23077	149.6482	0.02154303	10	31273.69	0.03768655
0.227349510	us	10.49.10.60	04	413.9286	544.7601	0.01623925	14	146662.3	0.001148508
5.371709477	04	58642	95.101.93.110	1277	138.1	5.183207	1966520750	64240	0.03614682
5.336630198	fr	443	10.49.10.60	287	72.625	5.263917	1083256296	64240	5.229465
0.881283157	04	42676	108.139.134.104	1.993097	41.649	0.000869116	881	6.053717e-15	0.0005078228
0.869055971	us	10.49.10.60	04	1450.091	160.4267	0.0004110953	1662	70143.99	0.000257322
0.268175572	04	51268	142.251.128.234	1245	141.7857	0.1076097	1597381010	64240	0.1075832
0.220392334	us	443	10.49.10.60	768	103	0.05887819	862258767	65535	0.00224424
0.284318524	04	38810	172.217.28.195	663	78.18182	0.1037488	3366971241	64240	0.1037117
0.231793957	us	443	10.49.10.60	2824	597.125	0.07281671	855773098	65535	0.02350349
0.561331185	04	38826	172.217.28.195	663	71.66666	0.3013003	1306970859	64240	0.3012486
0.513546909	us	443	10.49.10.60	2824	531	0.3012821	580830020	65535	0.01394995
0.799699822	04	41524	35.244.232.184	670	66.69231	0.3056359	3417429881	64240	0.2975595
0.752143256	us	443	10.49.10.60	2048	644.75	0.3539737	1480332275	65535	0.3062511
0.606352370	04	41548	35.244.232.184	670	66.69231	0.317132	1817702319	64240	0.06973398
0.553089663	us	443	10.49.10.60	2048	644.75	0.3718267	4081488766	65535	0.3174045
1.577715314	04	41540	35.244.232.184	670	57.8	1.289112	1244432520	64240	0.06929363
1.525236576	us	443	10.49.10.60	1412	515.8	1.342566	3914513213	65535	1.289383
2.407661107	04	45206	173.194.155.8	971	1.691707	0.1937618	414982454	64240	0.04957779
2.359781888	us	443	10.49.10.60	5632	1520.178	0.2422864	1813884215	65535	0.1945045
0.068602028	04	35744	108.139.134.104	52.93182	211.4786	0.001559137	18	8.597715	0.001874357
0.056030708	us	10.49.10.60	04	1294.66	427.764	0.001057183	48	71679.99	0.0004618604
12.324191966	04	42690	108.139.134.104	18.04706	139.735	0.04833016	221	8.033235	0.001634889
12.311633192	us	10.49.10.60	04	1426.218	156.2308	0.02636323	384	75775.99	0.04624891
0.314125811	04	38828	172.217.28.195	663	78.18182	0.1046389	3864869912	64240	0.1046026
0.280595447	us	443	10.49.10.60	2824	531	0.08359239	3861087314	65535	0.05031891
6.151931826	04	42512	172.217.30.67	0	0	6.047311	85665902	64240	0.05241458
6.099756403	us	80	10.49.10.60	0	0	6.099756	3733179911	65535	6.047342
6.048779985	04	33848	69.173.146.5	0	672	0	0x00000000_0x00000000	672	3.456e-06
5.945622895	us	Project"	443	0	1400	0	0x00000000_0x00000000	1400	3.488e-06
0.455147060	04	33440	172.217.28.129	673	66.92308	0.1896342	1808332291	64240	0.1056117
0.402508981	us	443	10.49.10.60	1412	476.7	0.2420012	3684178619	65535	0.1899467
0.457248361	04	33446	172.217.28.129	673	66.92308	0.1884731	1756036515	64240	0.1090478
0.405007927	us	443	10.49.10.60	1412	476.6	0.2408919	3577423294	65535	0.1890058
5.362118195	04	42692	108.139.134.104	119.2222	256.6001	0.5957909	8	64142.14	0.01279434
5.349664116	us	10.49.10.60	04	61.83333	75.98537	0.8916107	6	68091.52	1.185093
5.731800794	04	49842	95.101.93.110	1277	138.1	5.549675	3116792099	64240	0.03598458
5.697487985	fr	443	10.49.10.60	287	72.625	5.62439	2156201736	64240	5.589974
19.785255719	04	42674	108.139.134.104	28.50714	155.592	0.1413233	134	301078.7	0.001593725
19.772584402	us	10.49.10.60	04	1408.312	251.7534	0.07163981	224	72985.59	0.2731614
0.095939340	04	54490	108.139.134.104	151.7273	268.2032	0.008721759	8	31429.65	0.009628842
0.083945849	us	10.49.10.60	04	43.88889	66.68482	0.009327316	9	69987.12	0.01198977
0.253342953	04	55378	142.251.133.162	673	72.5	0.1036456	3758243239	64240	0.1036372
0.206380849	us	443	10.49.10.60	1521	499	0.0554163	3214508086	65535	0.00451004
28.811612291	04	45276	108.139.110.118	198.9	247.3689	0.9603871	27	31422.64	0.01082076
28.799655911	us	10.49.10.60	04	596.2222	576.4411	1.599981	18	84970.52	1.146789
5.155504465	04	40116	108.139.110.118	62.41667	152.3007	0.4296254	11	63908.64	0.00849569
5.143074284	us	10.49.10.60	04	649.1111	606.5213	0.5714527	9	66983.4	0.8534492
0.350721483	04	58726	142.251.129.65	712	69.92308	0.1002878	124887928	64240	0.1002706
0.307977956	us	443	10.49.10.60	1520	453.5454	0.05738421	3337078777	65535	0.004956896
5.292439088	04	52216	95.101.93.110	1277	138.1	5.106037	3779780321	64240	0.03581466
5.257522691	fr	443	10.49.10.60	287	72.625	5.18433	2173593893	64240	5.149623
0.923062111	04	36324	69.173.151.77	0	676	0	0x00000000_0x00000000	676	5.248e-06
32.000077082	us	Project"	443	0	1400	0	0x00000000_0x00000000	1400	1.92e-06
20.143092889	04	45860	23.212.191.75	1287	155.3	20.03507	1710461526	64240	20.03503
20.142394123	us	443	10.49.10.60	287	51.30769	19.95939	3780073173	64240	0.001071872
0.342067771	04	40846	162.247.241.14	0	1442	0	0x00000000_0x00000000	1506	0.000186672
0.341941476	ca	addresses"	443	0	915	0	0x00000000_0x00000000	939	1.4464e-05
0.245295972	04	58740	142.251.129.65	712	75.75	0.1077796	1317936120	64240	0.1077502
0.202704549	us	443	10.49.10.60	1521	499	0.06455281	2675694908	65535	0.008171408
0.290258673	04	48708	142.251.129.65	712	75.75	0.09931343	1054540293	64240	0.09924957
0.247608687	us	443	10.49.10.60	1522	499.1	0.0557153	2548592551	65535	0.005902784
0.264245901	04	35226	142.251.128.234	1245	110.3333	0.09886163	1479107383	64240	0.09883799
0.216825992	us	443	10.49.10.60	768	90.125	0.06074736	2801077968	65535	0.004557104
5.114899260	04	37974	108.139.110.118	124.6667	269.4622	0.5683222	8	64142.14	0.01267587
5.102152737	us	10.49.10.60	04	67.33334	81.4873	0.8503588	6	68091.52	1.130141
5.323216444	04	52224	95.101.93.110	1277	138.1	5.138781	2746878103	64240	0.03547034
5.288325663	fr	443	10.49.10.60	287	72.625	5.216485	1092121930	64240	5.181601
0.241579831	04	45370	142.251.129.65	712	75.75	0.0996135	2733743810	64240	0.09959411
0.198673371	us	443	10.49.10.60	1521	453.6364	0.05653043	3248808626	65535	0.00718016
5.105378189	04	38038	108.139.134.14	119.2222	256.6001	0.5672643	8	64142.14	0.01274109
5.092711365	us	10.49.10.60	04	74.2	78.53815	1.018542	5	67870.17	1.127555
5.106198919	04	51132	108.139.110.118	124.6667	269.4622	0.5673555	8	64142.14	0.01268476
5.093695881	us	10.49.10.60	04	67.33334	81.4873	0.8489493	6	68091.52	1.127865
20.150281921	04	53636	23.212.191.75	1287	155.3	20.04189	1923046005	64240	20.04172
20.149050114	us	443	10.49.10.60	287	55.58333	19.9668	2672105576	64240	0.001165696
0.250175970	04	53026	142.251.129.65	712	69.92308	0.1050364	2985102031	64240	0.1050113
0.207485517	us	443	10.49.10.60	1522	499.1	0.06139794	2938135695	65535	0.01702566
6.020473633	04	34410	95.101.93.110	1277	138.1	5.834439	1095444710	64240	0.03571991
5.985584015	fr	443	10.49.10.60	287	72.625	5.912533	2156732055	64240	5.878234
