"No.","Time","Source","Destination","Protocol","Length","Info", 1736885364.161848000, 45210
"1","0.000000","10.49.10.60","172.64.149.23","TCP","54","45210  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0", 1736885364.218453000, 80
"2","0.056605","172.64.149.23","10.49.10.60","TCP","60","[TCP ACKed unseen segment] 80  >  45210 [ACK] Seq=1 Ack=2 Win=9 Len=0", 1736885368.164561000, 57190
"3","4.002713","10.49.10.60","142.251.133.170","TLSv1.2","309","Application Data", 1736885368.164646000, 57190
"4","4.002798","10.49.10.60","142.251.133.170","TLSv1.2","97","Application Data", 1736885368.219789000, 443
"5","4.057941","142.251.133.170","10.49.10.60","TCP","60","443  >  57190 [ACK] Seq=1 Ack=256 Win=1050 Len=0", 1736885368.219833000, 443
"6","4.057985","142.251.133.170","10.49.10.60","TCP","60","443  >  57190 [ACK] Seq=1 Ack=299 Win=1050 Len=0", 1736885368.423648000, 443
"7","4.261800","142.251.133.170","10.49.10.60","TLSv1.2","1037","Application Data", 1736885368.423885000, 443
"8","4.262037","142.251.133.170","10.49.10.60","TLSv1.2","87","Application Data", 1736885368.423917000, 57190
"9","4.262069","10.49.10.60","142.251.133.170","TCP","54","57190  >  443 [ACK] Seq=299 Ack=1017 Win=501 Len=0", 1736885368.423951000, 443
"10","4.262103","142.251.133.170","10.49.10.60","TLSv1.2","85","Application Data", 1736885368.423957000, 443
"11","4.262109","142.251.133.170","10.49.10.60","TLSv1.2","93","Application Data", 1736885368.424574000, 57190
"12","4.262726","10.49.10.60","142.251.133.170","TCP","54","57190  >  443 [ACK] Seq=299 Ack=1087 Win=501 Len=0", 1736885368.424632000, 57190
"13","4.262784","10.49.10.60","142.251.133.170","TLSv1.2","93","Application Data", 1736885368.479897000, 443
"14","4.318049","142.251.133.170","10.49.10.60","TCP","60","443  >  57190 [ACK] Seq=1087 Ack=338 Win=1050 Len=0", 1736885369.018892000, 443
"15","4.857044","142.251.133.170","10.49.10.60","TLSv1.2","772","Application Data", 1736885369.061882000, 57190
"16","4.900034","10.49.10.60","142.251.133.170","TCP","54","57190  >  443 [ACK] Seq=338 Ack=1805 Win=501 Len=0", 1736885374.405844000, 45210
"17","10.243996","10.49.10.60","172.64.149.23","TCP","54","[TCP Dup ACK 1#1] 45210  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0", 1736885374.462851000, 80
"18","10.301003","172.64.149.23","10.49.10.60","TCP","60","[TCP Dup ACK 2#1] 80  >  45210 [ACK] Seq=1 Ack=2 Win=9 Len=0", 1736885378.967832000, 45210
"19","14.805984","10.49.10.60","172.64.149.23","TCP","54","[TCP Previous segment not captured] 45210  >  80 [FIN, ACK] Seq=2 Ack=1 Win=501 Len=0", 1736885379.025154000, 80
"20","14.863306","172.64.149.23","10.49.10.60","TCP","60","[TCP ACKed unseen segment] 80  >  45210 [FIN, ACK] Seq=1 Ack=3 Win=9 Len=0", 1736885379.025219000, 45210
"21","14.863371","10.49.10.60","172.64.149.23","TCP","54","45210  >  80 [ACK] Seq=3 Ack=2 Win=501 Len=0", 1736885380.801835000, 42748
"22","16.639987","10.49.10.60","20.189.173.15","TCP","54","42748  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0", 1736885380.989854000, 443
"23","16.828006","20.189.173.15","10.49.10.60","TCP","60","[TCP ACKed unseen segment] 443  >  42748 [ACK] Seq=1 Ack=2 Win=16385 Len=0", 1736885382.051921000, 42748
"24","17.890073","10.49.10.60","20.189.173.15","TLSv1.2","172","[TCP Previous segment not captured] , Application Data", 1736885382.051999000, 42748
