%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	222	0x0400000000004000	1737489589.452355016	1737489589.559911007	0.107555991	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	46750	151.101.2.27	us	"Fastly"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_13	DellInc,US_-	443	https	13	14	911	5795	0	671	70.07692	149.2121	0	0.02918994	0.008273537	0.008295354	120.8673	8470.007	-0.03703704	-0.728303	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2910402612	10	911	0	10	5764	0	671	64240	31273.69	0	64256	5	2	6	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	932554607	0	0.004	3730218.605176	1733759371.778274920	0.01228493	1.4528e-05	0.02273907	0.0101265	0.006516491	0.01240397	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	52	1	4	123	2.365385	30.75	2039	197416
B	222	0x0400000000004001	1737489589.464639931	1737489589.559893457	0.095253526	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		151.101.2.27	us	"Fastly"	443	10.49.10.60	04	"Private network"	46750	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_14	-_DellInc,US	443	https	14	13	5795	911	0	1460	413.9286	544.7601	0	0.02389225	0.006803824	0.007671264	146.9762	60837.64	0.03703704	0.728303	0x0a11	1	40071	56	56	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	948420254	14	5795	0	14	911	0	1460	65535	146662.3	65535	147456	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	512	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.00011904	7.04e-06	0.01184614	0.002108042	0.003477387	0.01223454	0.007386263	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	52	3	122	122	40.66667	37	27178
A	232	0x0400000000004000	1737489589.817367214	1737489589.964814284	0.147447070	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	34262	23.198.221.101	us	"Akamai Technologies"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_14	DellInc,US_-	443	https	14	12	871	5278	0	658	62.21429	141.8976	0	0.03821803	0.01053193	0.01438464	94.94933	5907.205	0.07692308	-0.7167019	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3443214620	11	871	0	11	5254	0	658	64240	31387.02	0	64256	4	2	5	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	3470453550	0	0.004	13881814.859351	1723607775.464077760	0.03417184	8.448e-06	0.03630496	0.02329797	0.01494224	0.03419091	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	54	1	4	134	2.481482	33.5	2269	212591
B	232	0x0400000000004001	1737489589.851539078	1737489589.964804255	0.113265177	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		23.198.221.101	us	"Akamai Technologies"	443	10.49.10.60	04	"Private network"	34262	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_12	-_DellInc,US	443	https	12	14	5278	871	0	1460	439.8333	492.1437	0	0.03855575	0.009438765	0.01414869	105.9461	46598.61	-0.07692308	0.7167019	0x0211	1	269	52	52	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	814700454	12	5278	0	12	872	0	1460	64240	64130.21	64128	64240	1	0	0	0	0x031b	0x0000	1	6	0x0000001e	1460	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	1.9072e-05	8.32e-06	0.0035968	0.001129431	0.001362321	0.0244274	0.01500421	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	54	3	133	133	44.33333	31	7854
A	235	0x0400000000004000	1737489589.859376280	1737489590.104284736	0.244908456	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	41560	35.244.232.184	us	"Google LLC"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_13	DellInc,US_-	443	https	13	8	867	5158	0	670	66.69231	148.9089	0	0.05179444	0.01883911	0.02010307	53.08106	3540.098	0.2380952	-0.7121992	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1866743570	10	867	0	10	5127	0	670	64240	31339.81	0	64256	4	2	5	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	3582105542	0	0.004	14328422.848564	1723161167.3829225096	0.04905671	7.744e-06	0.05176006	0.03056376	0.02076675	0.04910342	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	60	1	11	144	2.4	13.09091	2461	224533
B	235	0x0400000000004001	1737489589.908432977	1737489590.104260366	0.195827389	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		35.244.232.184	us	"Google LLC"	443	10.49.10.60	04	"Private network"	41560	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_8	-_DellInc,US	443	https	8	13	5158	867	0	2048	644.75	717.7661	0	0.0926633	0.02447843	0.02890268	40.8523	26339.52	-0.2380952	0.7121992	0x0a11	1	26558	119	119	0	0x04	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3707635271	8	5158	0	8	868	0	2048	65535	252295.2	65535	269056	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1412	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	4.672e-05	7.872e-06	0.04645171	0.007225003	0.01504272	0.03778876	0.02564257	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	60	10	143	143	14.3	45	25041
A	237	0x0400000000004000	1737489589.878071176	1737489590.142139712	0.264068536	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	42734	151.101.130.27	us	"Fastly"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_13	DellInc,US_-	443	https	13	14	913	5795	0	673	70.23077	149.6482	0	0.05146313	0.02031296	0.02029664	49.22964	3457.436	-0.03703704	-0.7277877	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1033237542	10	913	0	10	5764	0	673	64240	31273.69	0	64256	5	2	6	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	3415227634	0	0.004	13660911.184858	1723828678.1712989616	0.04783251	9.664e-06	0.05144474	0.0343348	0.01987036	0.04785274	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	60	1	4	142	2.366667	35.5	2499	224624
B	237	0x0400000000004001	1737489589.925903687	1737489590.142136172	0.216232485	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		151.101.130.27	us	"Fastly"	443	10.49.10.60	04	"Private network"	42734	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_14	-_DellInc,US	443	https	14	13	5795	913	0	1460	413.9286	544.7601	0	0.0610512	0.01544518	0.02139579	64.74513	26799.86	0.03703704	0.7277877	0x0a11	1	8331	56	56	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4291843301	14	5795	0	14	913	0	1460	65535	146662.3	65535	147456	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	512	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	2.0224e-05	2.432e-06	0.01358342	0.0017153	0.003551905	0.0360501	0.02018532	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	60	3	141	141	47	28	11590
A	236	0x0400000000004000	1737489589.878020996	1737489590.158080437	0.280059441	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	42722	151.101.130.27	us	"Fastly"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_13	DellInc,US_-	443	https	13	14	913	5795	0	673	70.23077	149.6482	0	0.054841	0.02154303	0.02244875	46.41872	3260.022	-0.03703704	-0.7277877	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2463445514	10	913	0	10	5764	0	673	64240	31273.69	0	64256	5	2	6	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	3415227634	0	0.004	13660911.184858	1723828678.1662809616	0.05270349	1.0304e-05	0.05482432	0.03768655	0.02181688	0.05273709	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	60	1	2	146	2.433333	73	2551	230487
B	236	0x0400000000004001	1737489589.930724496	1737489590.158074006	0.227349510	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		151.101.130.27	us	"Fastly"	443	10.49.10.60	04	"Private network"	42722	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_14	-_DellInc,US	443	https	14	13	5795	913	0	1460	413.9286	544.7601	0	0.05968506	0.01623925	0.02247293	61.5792	25489.39	0.03703704	0.7277877	0x0a11	1	42996	56	56	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	65836002	14	5795	0	14	913	0	1460	65535	146662.3	65535	147456	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	512	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.36e-05	2.688e-06	0.007310144	0.001148508	0.00222738	0.03883506	0.02193029	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	60	1	145	145	145	28	11590
